,id_c,education_background_c,professional_experience_c,skills_c,gender_c,agg_perceived_foreign_c,id_j,education_reqs_j,experience_reqs_role_j,experience_reqs_duration_j,skills_j,gender_j,agg_perceived_foreign_j,score,ranking,shortlisted,gender_c_agg_perceived_foreign_c
10,225,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Prosegur', 'start_date': 'August 2021', 'end_date': 'June 2022', 'role': 'Security Assistant', 'duration': '10 months', 'duration_months': 10}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Personnel Selection', 'Personal Profiles', 'Research']",Woman,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.5391304347826087,9,1,WomanNo
11,262,"[{'institution': 'University Of Buenos Aires', 'start_date': 'January 2008', 'end_date': 'December 2013', 'degree': 'Bachelor Of Arts Linguistics Orientation'}]","[{'institution': 'Primark', 'start_date': 'July 2020', 'end_date': 'October 2020', 'role': 'Saleswoman', 'duration': '3 months', 'duration_months': 3}]",['English'],Woman,Yes,3,[],"['Sales Assistant', 'Saleswoman', 'Commercial Advisor']",12,"['English', 'Spanish', 'Communications', 'Communication', 'Sales', 'Negotiation', 'Adaptability', 'Customer Relationship Management']",Man,No,0.0424178154825026,50,0,WomanYes
12,269,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Carrefour', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Cashier  Stocker', 'duration': '1 year, 11 months', 'duration_months': 23}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Machine Learning', 'Personnel Selection', 'Personal Profiles', 'Research', 'Problem Solving']",Man,Yes,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.0535117056856187,60,0,ManYes
13,272,"[{'institution': 'Estuaria Secondary Education Institute', 'start_date': 'January 1998', 'end_date': 'December 1998', 'degree': 'Eso Graduate'}]","[{'institution': 'Salon Bravo Murillo 125 Bravo Murillo Room 303', 'start_date': 'January 2022', 'end_date': 'September 2022', 'role': 'Room Manager', 'duration': '8 months', 'duration_months': 8}, {'institution': 'Amazonia Gourmet Sl', 'start_date': 'November 2018', 'end_date': 'September 2021', 'role': 'Manager', 'duration': '2 years, 10 months', 'duration_months': 34}, {'institution': 'Unilever Food Solutions Spain', 'start_date': 'November 2016', 'end_date': 'March 2017', 'role': 'Auditor', 'duration': '4 months', 'duration_months': 4}, {'institution': 'Marcos Footwear', 'start_date': 'December 1984', 'end_date': 'June 1998', 'role': 'Sales Assistant', 'duration': '13 years, 6 months', 'duration_months': 162}]","['Communications', 'Spanish']",Woman,No,3,[],"['Sales Assistant', 'Saleswoman', 'Commercial Advisor']",12,"['English', 'Spanish', 'Communications', 'Communication', 'Sales', 'Negotiation', 'Adaptability', 'Customer Relationship Management']",Man,No,0.0248447204968944,54,0,WomanNo
14,278,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'El Pita Restaurant Atlantic', 'start_date': 'November 2020', 'end_date': 'December 2021', 'role': 'Home Delivery Food Delivery Man', 'duration': '1 year, 1 months', 'duration_months': 13}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Research']",Woman,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.0267558528428093,68,0,WomanNo
15,290,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Atlas Business Services Center', 'start_date': 'July 2019', 'end_date': 'August 2019', 'role': 'Logistics Operator', 'duration': '1 months', 'duration_months': 1}]","['Microsoft Word', 'Web Design', 'Adobe Premiere Pro', 'Problem Solving', 'Management', 'Communications', 'Adobe Indesign', 'Adobe Illustrator', 'Spanish', 'Legal Research', 'Digital Literacy', 'Project Management Software', 'Gmail', 'Filing', 'Machine Learning', 'Microsoft Outlook', 'Maple (Software)', 'Adobe Photoshop', 'Adobe Creative Suite', 'Microsoft Office', 'Artificial Intelligence', 'Registration', 'Microsoft Powerpoint']",Man,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.0,72,0,ManNo
16,297,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Prosegur', 'start_date': 'July 2019', 'end_date': 'September 2019', 'role': 'Access Controller', 'duration': '2 months', 'duration_months': 2}]","['Communications', 'Microsoft Word', 'Spanish', 'Reconciliation', 'Machine Learning', 'Spanisih', 'Problem Solving']",Woman,Yes,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.0372670807453416,65,0,WomanYes
17,301,"[{'institution': 'Ies Arinaga Crossing', 'start_date': 'September 2017', 'end_date': 'June 2021', 'degree': 'Eso Graduate'}]","[{'institution': 'Primark SL', 'start_date': 'April 2021', 'end_date': 'August 2021', 'role': 'Sales Assistant', 'duration': '4 months', 'duration_months': 4}]","['Flexibility', 'Communications', 'Easy Learning', 'German', 'English', 'Pleasent Treatment', 'Scala (Programming Language)', 'Spanish', 'Portuguese', 'Communnication', 'Teaching', 'French', 'Telemarketing', 'Customer Support']",Woman,No,3,[],"['Sales Assistant', 'Saleswoman', 'Commercial Advisor']",12,"['English', 'Spanish', 'Communications', 'Communication', 'Sales', 'Negotiation', 'Adaptability', 'Customer Relationship Management']",Man,No,0.0,55,0,WomanNo
18,303,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Hotel Valjunco', 'start_date': 'June 2023', 'end_date': 'July 2023', 'role': 'Waitress', 'duration': '1 months', 'duration_months': 1}]","['Microsoft Excel', 'Microsoft Office']",Woman,No,5,"['Law Bachelor', 'Degree In Law', 'Higher Degree In Administration And Finance', 'Double Masters Degree In Access To The Legal Profession And Legal Advice For Bilingual Companies']",['Consultant'],12,"['Punctuality', 'Organization', 'Accounting', 'English', 'Consulting']",Man,No,0.0,72,0,WomanNo
19,305,"[{'institution': 'University Of Alicante', 'start_date': 'January 2019', 'end_date': 'December 2020', 'degree': 'Master In Natural Risk Planning And Management'}, {'institution': 'Pierre Et Marie Curie University Sorbonne University', 'start_date': 'January 2012', 'end_date': 'December 2015', 'degree': 'Bachelor Of Science In Physics'}]","[{'institution': 'Csir national Chemical Laboratory', 'start_date': 'May 2016', 'end_date': 'March 2017', 'role': 'Project Fellow', 'duration': '10 months', 'duration_months': 10}]","['Opera (Web Browser)', 'English', 'Ubuntu (Operating System)', 'Photonics', 'Data Analysis', 'Physics', 'Mysql', 'Linux', 'Gnu Image Manipulation Program (Gimp)', 'Swedish', 'Research', 'Curiosity', 'Matlab', 'Planning', 'Julia (Programming Language)', 'Image Quality', 'Medical Devices', 'Astronomy', 'French', 'Python (Programming Language)', 'Labview', 'Source (Game Engine)', 'Teaching']",Woman,No,1,"[""Bachelor's Degree in Information Society Technologies"", 'Msc Intelligent Technology', 'Bachelor Of Science In Physics', 'Bs In Mathematical Engineering', 'Bsc Computer Science', 'Bachelor In Computer Engineering', 'Master In Data Science', 'Higher Computer Engineering', 'Master In Data Science', 'Bachelor Comoputer Science', 'Bachelor Of Science Computer Science', 'Bsc Artificial Intelligence', 'Bsc in Physics and Computer Science', 'Bsc In Applied Computer Science', 'Master Of Science Msc Computer Science']","['Data Analyst', 'Analyst', 'Embedded Software Engineer', 'Full Stack Developer', 'Machine Learning Engineer', 'IT Consultant']",12,"['English', 'Teamwork', 'Microsoft Office', 'Python (Programming Language)', 'Data Analysis', 'Sql (Programming Language)', 'Machine Learning', 'Agile Software Development', 'Computer Science', 'Punctuality']",Man,No,0.3478260869565217,52,0,WomanNo
20,308,"[{'institution': 'University Of Ljubljana', 'start_date': 'July 2008', 'end_date': 'February 2011', 'degree': 'Master Of Science Msc Computer Science'}, {'institution': 'University Of Ljubljana', 'start_date': 'September 2005', 'end_date': 'June 2008', 'degree': 'Bachelor Of Science Bsc Computer Science'}]","[{'institution': 'Integral Motorbike', 'start_date': 'August 2023', 'end_date': 'September 2023', 'role': 'Motorcycle Technician', 'duration': '1 months', 'duration_months': 1}, {'institution': 'Oliva Engine Bmw Dealership', 'start_date': 'January 2023', 'end_date': 'March 2023', 'role': 'Motorcycle Mechanic', 'duration': '2 months', 'duration_months': 2}, {'institution': 'Webcheckout Inc', 'start_date': 'December 1988', 'end_date': 'November 2004', 'role': 'Full Stack Developer', 'duration': '15 years, 11 months', 'duration_months': 191}]","['Javascript (Programming Language)', 'English', 'Sql (Programming Language)', 'Mongodb', 'Machine Learning', 'Amazon Web Services', 'Research', 'Management']",Man,No,1,"[""Bachelor's Degree in Information Society Technologies"", 'Msc Intelligent Technology', 'Bachelor Of Science In Physics', 'Bs In Mathematical Engineering', 'Bsc Computer Science', 'Bachelor In Computer Engineering', 'Master In Data Science', 'Higher Computer Engineering', 'Master In Data Science', 'Bachelor Comoputer Science', 'Bachelor Of Science Computer Science', 'Bsc Artificial Intelligence', 'Bsc in Physics and Computer Science', 'Bsc In Applied Computer Science', 'Master Of Science Msc Computer Science']","['Data Analyst', 'Analyst', 'Embedded Software Engineer', 'Full Stack Developer', 'Machine Learning Engineer', 'IT Consultant']",12,"['English', 'Teamwork', 'Microsoft Office', 'Python (Programming Language)', 'Data Analysis', 'Sql (Programming Language)', 'Machine Learning', 'Agile Software Development', 'Computer Science', 'Punctuality']",Man,No,0.0,75,0,ManNo
21,309,"[{'institution': 'Elbs', 'start_date': 'October 2020', 'end_date': 'November 2020', 'degree': 'Expert Master in Chromotography'}, {'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}]","[{'institution': 'Simulation Center Ucprocter  Gamble Collaboration', 'start_date': 'September 2016', 'end_date': 'November 2018', 'role': 'University Research Assistant', 'duration': '2 years, 2 months', 'duration_months': 26}]","['Trajectory', 'Django (Web Framework)', 'Data Modeling', 'English', 'R (Programming Language)', 'Time Series', 'Optical Character Recognition (Ocr)', 'Management', 'Collaboration', 'Deep Learning', 'Innovation', 'Transformers (Electrical)', 'Computer Vision', 'Anomaly Detection', 'C (Programming Language)', 'Forecasting', 'Matlab', 'Docker (Software)', '3D Rendering', 'Italian', 'Machine Learning', 'Rendering', 'Pytorch (Machine Learning Library)', 'Tensorflow', 'Python (Programming Language)', 'Natural Language Processing', 'Scikit-Learn (Machine Learning Library)', 'Prediction']",Woman,Yes,1,"[""Bachelor's Degree in Information Society Technologies"", 'Msc Intelligent Technology', 'Bachelor Of Science In Physics', 'Bs In Mathematical Engineering', 'Bsc Computer Science', 'Bachelor In Computer Engineering', 'Master In Data Science', 'Higher Computer Engineering', 'Master In Data Science', 'Bachelor Comoputer Science', 'Bachelor Of Science Computer Science', 'Bsc Artificial Intelligence', 'Bsc in Physics and Computer Science', 'Bsc In Applied Computer Science', 'Master Of Science Msc Computer Science']","['Data Analyst', 'Analyst', 'Embedded Software Engineer', 'Full Stack Developer', 'Machine Learning Engineer', 'IT Consultant']",12,"['English', 'Teamwork', 'Microsoft Office', 'Python (Programming Language)', 'Data Analysis', 'Sql (Programming Language)', 'Machine Learning', 'Agile Software Development', 'Computer Science', 'Punctuality']",Man,No,0.0331262939958592,65,0,WomanYes
22,310,"[{'institution': 'Lund University', 'start_date': 'January 2016', 'end_date': 'December 2018', 'degree': 'Master Of Science In Physics'}, {'institution': 'Radboud University Nijmegen', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Rick Hansen Foundation', 'start_date': 'July 2018', 'end_date': 'October 2018', 'role': 'Technical Support Engineer Intern', 'duration': '3 months', 'duration_months': 3}]","['Python (Programming Language)', 'Opera (Web Browser)', 'English', 'Matlab', 'Image Quality', 'Labview', 'Linux', 'Research']",Woman,No,1,"[""Bachelor's Degree in Information Society Technologies"", 'Msc Intelligent Technology', 'Bachelor Of Science In Physics', 'Bs In Mathematical Engineering', 'Bsc Computer Science', 'Bachelor In Computer Engineering', 'Master In Data Science', 'Higher Computer Engineering', 'Master In Data Science', 'Bachelor Comoputer Science', 'Bachelor Of Science Computer Science', 'Bsc Artificial Intelligence', 'Bsc in Physics and Computer Science', 'Bsc In Applied Computer Science', 'Master Of Science Msc Computer Science']","['Data Analyst', 'Analyst', 'Embedded Software Engineer', 'Full Stack Developer', 'Machine Learning Engineer', 'IT Consultant']",12,"['English', 'Teamwork', 'Microsoft Office', 'Python (Programming Language)', 'Data Analysis', 'Sql (Programming Language)', 'Machine Learning', 'Agile Software Development', 'Computer Science', 'Punctuality']",Man,No,0.0,75,0,WomanNo
23,322,"[{'institution': 'University Of Alicante', 'start_date': 'January 2019', 'end_date': 'December 2020', 'degree': 'Master In Natural Risk Planning And Management'}, {'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}]","[{'institution': 'Teknei', 'start_date': 'August 2021', 'end_date': 'November 2021', 'role': 'Data Analyst', 'duration': '3 months', 'duration_months': 3}]","['Trajectory', 'Django (Web Framework)', 'English', 'Data Modeling', 'R (Programming Language)', 'Time Series', 'Optical Character Recognition (Ocr)', 'Management', 'Deep Learning', 'Collaboration', 'Innovation', 'Transformers (Electrical)', 'Quantum Gis (Qgis)', 'Computer Vision', 'Anomaly Detection', 'C (Programming Language)', 'Forecasting', 'Matlab', 'Docker (Software)', '3D Rendering', 'Italian', 'Machine Learning', 'Rendering', 'Pytorch (Machine Learning Library)', 'Tensorflow', 'Python (Programming Language)', 'Natural Language Processing', 'Scikit-Learn (Machine Learning Library)', 'Prediction']",Man,No,1,"[""Bachelor's Degree in Information Society Technologies"", 'Msc Intelligent Technology', 'Bachelor Of Science In Physics', 'Bs In Mathematical Engineering', 'Bsc Computer Science', 'Bachelor In Computer Engineering', 'Master In Data Science', 'Higher Computer Engineering', 'Master In Data Science', 'Bachelor Comoputer Science', 'Bachelor Of Science Computer Science', 'Bsc Artificial Intelligence', 'Bsc in Physics and Computer Science', 'Bsc In Applied Computer Science', 'Master Of Science Msc Computer Science']","['Data Analyst', 'Analyst', 'Embedded Software Engineer', 'Full Stack Developer', 'Machine Learning Engineer', 'IT Consultant']",12,"['English', 'Teamwork', 'Microsoft Office', 'Python (Programming Language)', 'Data Analysis', 'Sql (Programming Language)', 'Machine Learning', 'Agile Software Development', 'Computer Science', 'Punctuality']",Man,No,0.1159420289855072,55,0,ManNo
24,341,"[{'institution': 'Universiteit Van Amsterdam', 'start_date': 'September 2020', 'end_date': 'June 2022', 'degree': 'Master Social Sciences Research'}, {'institution': 'Politecnico Di Torino', 'start_date': 'September 2014', 'end_date': 'October 2017', 'degree': 'Bs In Mathematical Engineering'}]","[{'institution': 'University Of Amsterdam', 'start_date': 'June 2020', 'end_date': 'Current', 'role': 'Research Assistant', 'duration': '4 years, 9 months', 'duration_months': 57}]","['Trajectory', 'Matlab', 'Forecasting', 'Deep Learning', 'Collaboration', 'Transformers (Electrical)', 'Scikit-Learn (Machine Learning Library)', 'Pytorch (Machine Learning Library)']",Man,Yes,1,"[""Bachelor's Degree in Information Society Technologies"", 'Msc Intelligent Technology', 'Bachelor Of Science In Physics', 'Bs In Mathematical Engineering', 'Bsc Computer Science', 'Bachelor In Computer Engineering', 'Master In Data Science', 'Higher Computer Engineering', 'Master In Data Science', 'Bachelor Comoputer Science', 'Bachelor Of Science Computer Science', 'Bsc Artificial Intelligence', 'Bsc in Physics and Computer Science', 'Bsc In Applied Computer Science', 'Master Of Science Msc Computer Science']","['Data Analyst', 'Analyst', 'Embedded Software Engineer', 'Full Stack Developer', 'Machine Learning Engineer', 'IT Consultant']",12,"['English', 'Teamwork', 'Microsoft Office', 'Python (Programming Language)', 'Data Analysis', 'Sql (Programming Language)', 'Machine Learning', 'Agile Software Development', 'Computer Science', 'Punctuality']",Man,No,0.0,75,0,ManYes
25,344,"[{'institution': 'University Of Copenhagen', 'start_date': 'January 2016', 'end_date': 'December 2018', 'degree': 'Master Of Science In Physics'}, {'institution': 'Alexandru Ioan Cuza University', 'start_date': 'October 2009', 'end_date': 'July 2012', 'degree': 'Bsc in Physics and Computer Science'}]","[{'institution': 'Seur', 'start_date': 'October 2018', 'end_date': 'February 2019', 'role': 'Driver Delivery Driver', 'duration': '4 months', 'duration_months': 4}]","['Python (Programming Language)', 'Opera (Web Browser)', 'English', 'Matlab', 'Julia (Programming Language)', 'Linux', 'Research']",Man,Yes,1,"[""Bachelor's Degree in Information Society Technologies"", 'Msc Intelligent Technology', 'Bachelor Of Science In Physics', 'Bs In Mathematical Engineering', 'Bsc Computer Science', 'Bachelor In Computer Engineering', 'Master In Data Science', 'Higher Computer Engineering', 'Master In Data Science', 'Bachelor Comoputer Science', 'Bachelor Of Science Computer Science', 'Bsc Artificial Intelligence', 'Bsc in Physics and Computer Science', 'Bsc In Applied Computer Science', 'Master Of Science Msc Computer Science']","['Data Analyst', 'Analyst', 'Embedded Software Engineer', 'Full Stack Developer', 'Machine Learning Engineer', 'IT Consultant']",12,"['English', 'Teamwork', 'Microsoft Office', 'Python (Programming Language)', 'Data Analysis', 'Sql (Programming Language)', 'Machine Learning', 'Agile Software Development', 'Computer Science', 'Punctuality']",Man,No,0.072463768115942,60,0,ManYes
