,id_c,education_background_c,professional_experience_c,skills_c,gender_c,agg_perceived_foreign_c
32,32,"[{'institution': 'Icade University Of Comillas', 'start_date': 'January 1985', 'end_date': 'December 1986', 'degree': 'Graduated In Marketing And Commercial Management'}]","[{'institution': 'Viajes Guia Tur', 'start_date': 'July 2019', 'end_date': 'February 2023', 'role': 'Commercial Manager With You', 'duration': '3 years, 7 months', 'duration_months': 43}, {'institution': 'Almacenes Carmona Sa', 'start_date': 'June 2016', 'end_date': 'August 2016', 'role': 'Sales Promotercommercial For', 'duration': '2 months', 'duration_months': 2}, {'institution': 'Marcos Footwear', 'start_date': 'December 1985', 'end_date': 'June 1998', 'role': 'Sales Assistant', 'duration': '12 years, 6 months', 'duration_months': 150}]","['Consulting', 'Sap Crm', 'Customer Satisfaction', 'English', 'Motorcycles', 'Entrepreneurship', 'Tax Consulting', 'Spanish', 'Management', 'Emotional Intelligence', 'Operations', 'Customer Service', 'Sales']",Man,No
43,43,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Adana Rural House', 'start_date': 'November 2022', 'end_date': 'January 2023', 'role': 'Cashier', 'duration': '2 months', 'duration_months': 2}]","['Outsourcing', 'Adobe Photoshop', 'Adobe Creative Suite', 'Adobe Indesign', 'Adobe Illustrator', 'Storage Management', 'Project Management', 'Operating Systems', 'Italian', 'Integration', 'Operations', 'Maple (Software)', 'French', 'Adobe Premiere Pro']",Man,No
48,48,"[{'institution': 'Les Ribera De Los Molinos', 'start_date': 'January 2016', 'end_date': 'December 2020', 'degree': 'Degree In Aesthetics And Beauty'}]","[{'institution': 'Primark', 'start_date': 'June 2023', 'end_date': 'September 2023', 'role': 'Saleswoman', 'duration': '3 months', 'duration_months': 3}]","['Creativity', 'Office', 'Microsoft Excel', 'Microsoft Office', 'English', 'Spanish', 'Sales', 'Portuguese', 'Indicators', 'Microsoft Outlook', 'Administrative Support']",Woman,No
54,54,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Mancha Real City Council', 'start_date': 'October 2017', 'end_date': 'March 2018', 'role': 'Warehouse Boy', 'duration': '5 months', 'duration_months': 5}]","['Microsoft Word', 'Draft (Boiler)', 'Adobe Premiere Pro', 'Problem Solving', 'Adobe Indesign', 'Adobe Illustrator', 'Project Management', 'Gmail', 'Outsourcing', 'Italian', 'Arabic', 'Microsoft Outlook', 'French', 'Personal Profiles', 'Adobe Photoshop', 'Microsoft Office', 'Integration', 'Spanisih', 'Microsoft Powerpoint']",Woman,No
55,55,"[{'institution': 'Coronel Rosales Agricultural School', 'start_date': 'January 1988', 'end_date': 'December 1993', 'degree': 'Agricultural Technical Engineer'}]","[{'institution': 'Bauhaus', 'start_date': 'September 2015', 'end_date': 'Present', 'role': 'Seller', 'duration': '9 years, 6 months', 'duration_months': 114}, {'institution': 'Marcos Footwear', 'start_date': 'May 1996', 'end_date': 'June 2002', 'role': 'Sales Assistant', 'duration': '6 years, 1 months', 'duration_months': 73}]","['Auditing', 'Mfg/Pro (Erp)', 'Continuous Quality Improvement (Cqi)', 'French', 'Customer Service']",Woman,No
58,58,"[{'institution': 'Ies Arinaga Crossing', 'start_date': 'September 2017', 'end_date': 'June 2021', 'degree': 'Eso Graduate'}]","[{'institution': 'Springfield Sa', 'start_date': 'January 2021', 'end_date': 'April 2021', 'role': 'Sales Assistant', 'duration': '3 months', 'duration_months': 3}]","['Flexibility', 'Communications', 'Easy Learning', 'German', 'Pleasent Treatment', 'English', 'Portuguese', 'Communnication', 'French', 'Telemarketing', 'Customer Support']",Woman,No
61,61,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Enterprise Rent A Car', 'start_date': 'December 2019', 'end_date': 'January 2020', 'role': 'Parcel Delivery Driver', 'duration': '1 months', 'duration_months': 1}]","['Social Integration', 'Research', 'Informatics']",Woman,No
63,63,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Adana Rural House', 'start_date': 'November 2022', 'end_date': 'January 2023', 'role': 'Cashier', 'duration': '2 months', 'duration_months': 2}]","['Italian', 'Operating Systems']",Man,No
65,65,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'La Duquesa Golf Club', 'start_date': 'March 2022', 'end_date': 'June 2022', 'role': 'Proshop Store Clerk', 'duration': '3 months', 'duration_months': 3}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Personal Profiles', 'Research']",Man,Yes
68,68,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Golden Crayfish', 'start_date': 'May 2019', 'end_date': 'July 2019', 'role': 'Waiters Assistant', 'duration': '2 months', 'duration_months': 2}]",['Communications'],Man,No
74,74,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'La Duquesa Golf Club', 'start_date': 'March 2022', 'end_date': 'June 2022', 'role': 'Receptionist', 'duration': '3 months', 'duration_months': 3}]","['Social Integration', 'Microsoft Word', 'English', 'Collaboration', 'Italian']",Man,No
75,75,"[{'institution': 'Ies Pea Del Aguila', 'start_date': 'September 2017', 'end_date': 'June 2021', 'degree': 'Eso Graduate'}]","[{'institution': 'Local Shop', 'start_date': 'August 2021', 'end_date': 'September 2021', 'role': 'Sales Assistant', 'duration': '1 months', 'duration_months': 1}]",['French'],Man,No
77,77,"[{'institution': 'University Of The Basque Country', 'start_date': 'January 1996', 'end_date': 'December 1996', 'degree': 'Secondary Education Degree'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2008', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '15 years, 11 months', 'duration_months': 191}]",['Sales'],Woman,Yes
79,79,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Adu Carrascal', 'start_date': 'January 2020', 'end_date': 'December 2021', 'role': 'Coach', 'duration': '1 year, 11 months', 'duration_months': 23}]","['Communications', 'Collections', 'Adobe Indesign', 'Problem Solving', 'Adobe Illustrator', 'Electricity', 'Microsoft Word', 'Spanish', 'Microsoft Office', 'Management', 'Gmail', 'Machine Learning', 'Microsoft Outlook', 'Spanisih', 'Adobe Premiere Pro', 'Microsoft Powerpoint']",Woman,No
86,86,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Juan Velasco Club Access', 'start_date': 'April 2023', 'end_date': 'August 2023', 'role': 'Management And Collections', 'duration': '4 months', 'duration_months': 4}]","['Literacy', 'Informatics', 'Research', 'Social Integration']",Woman,No
91,91,"[{'institution': 'Escuela Politcnica Superior De Lugo', 'start_date': 'January 1988', 'end_date': 'December 1993', 'degree': 'Agricultural Technical Engineer'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2008', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '15 years, 11 months', 'duration_months': 191}]",['Continuous Quality Improvement (Cqi)'],Woman,No
105,105,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'El Rincon De La Buhaira', 'start_date': 'April 2023', 'end_date': 'September 2023', 'role': 'Waitress', 'duration': '5 months', 'duration_months': 5}]","['Microsoft Excel', 'Microsoft Office', 'Project Management', 'Spanish', 'Operating Systems', 'Web Design', 'Microsoft Outlook', 'Personnel Selection', 'Java (Programming Language)', 'French', 'Personal Profiles', 'Microsoft Powerpoint']",Woman,No
114,114,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Alcampo', 'start_date': 'September 2022', 'end_date': 'December 2022', 'role': 'Cashier', 'duration': '3 months', 'duration_months': 3}]","['Outsourcing', 'Adobe Photoshop', 'Adobe Creative Suite', 'Adobe Indesign', 'Adobe Illustrator', 'Project Management', 'Storage Management', 'Operating Systems', 'Italian', 'Integration', 'Operations', 'Maple (Software)', 'French', 'Adobe Premiere Pro', 'Microsoft Powerpoint']",Man,No
121,121,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Golden Crayfish', 'start_date': 'April 2023', 'end_date': 'September 2023', 'role': 'Waitress', 'duration': '5 months', 'duration_months': 5}]","['Microsoft Excel', 'Microsoft Office', 'French']",Man,No
122,122,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Hotel Valjunco', 'start_date': 'June 2018', 'end_date': 'September 2018', 'role': 'Waiter', 'duration': '3 months', 'duration_months': 3}]","['Informatics', 'Project Management', 'Storage Management', 'Literacy', 'Gmail', 'Machine Learning', 'Digital Literacy', 'Research', 'Management']",Woman,No
130,130,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'New York Haute Couture Clothing Store', 'start_date': 'January 2023', 'end_date': 'April 2023', 'role': 'Customer Service Agent', 'duration': '3 months', 'duration_months': 3}]","['Communications', 'Microsoft Word', 'Spanish', 'Reconciliation', 'Problem Solving']",Man,No
141,141,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'La Duquesa Golf Club', 'start_date': 'March 2022', 'end_date': 'June 2022', 'role': 'Proshop Store Clerk', 'duration': '3 months', 'duration_months': 3}]","['Social Integration', 'Research', 'Informatics', 'Literacy']",Man,No
144,144,"[{'institution': 'Lmu', 'start_date': 'October 2017', 'end_date': 'April 2019', 'degree': 'International Master Program in german'}, {'institution': 'Icade University Of Comillas', 'start_date': 'January 1985', 'end_date': 'December 1986', 'degree': 'Graduated In Marketing And Commercial Management'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'Amano Repairs And Reforms', 'start_date': 'October 2019', 'end_date': 'September 2021', 'role': 'Selfemployed Worker', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'Altea Y Prez Mora', 'start_date': 'January 2013', 'end_date': 'September 2016', 'role': 'Large Supervisor And Commercial', 'duration': '3 years, 8 months', 'duration_months': 44}, {'institution': 'La Rosa Restaurant', 'start_date': 'October 1978', 'end_date': 'December 1988', 'role': 'Waiters Assistant', 'duration': '10 years, 2 months', 'duration_months': 122}]","['Market Analysis', 'Microsoft Word', 'Opera (Web Browser)', 'English', 'Empathy', 'Quality Control', 'Hubspot', 'Business To Business', 'Mfg/Pro (Erp)', 'Cyber Threat Intelligence', 'Photography', 'Management', 'Project Management', 'Social Media', 'Foreign Language', 'Research', 'Sales', 'Planning', 'Service Provider', 'Italian', 'International Sales', 'Customer Relationship Management', 'Billing', 'Well Control', 'Technical Sales', 'Adobe Photoshop', 'Sociology', 'Agile Software Development', 'Closing (Sales)', 'Lead Management', 'Teaching', 'Enterprise Resource Planning', 'Microsoft Powerpoint']",Man,No
145,145,"[{'institution': 'Lmu', 'start_date': 'October 2017', 'end_date': 'April 2019', 'degree': 'International Master Program in german'}, {'institution': 'Icade University Of Comillas', 'start_date': 'January 1985', 'end_date': 'December 1986', 'degree': 'Graduated In Marketing And Commercial Management'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'Sexy Fish Restaurant', 'start_date': 'March 2020', 'end_date': 'May 2021', 'role': 'Diver', 'duration': '1 year, 2 months', 'duration_months': 14}, {'institution': 'Falcon Agroalimentaria', 'start_date': 'July 2006', 'end_date': 'November 2019', 'role': 'Cashier', 'duration': '13 years, 4 months', 'duration_months': 160}]","['Sales', 'English']",Woman,No
147,147,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Aramark Sa La Orotava Salesian School', 'start_date': 'October 2022', 'end_date': 'Current', 'role': 'Dinning Hall Monitor', 'duration': '2 years, 5 months', 'duration_months': 29}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Machine Learning', 'Personnel Selection', 'Personal Profiles', 'Research', 'Problem Solving']",Woman,No
148,148,"[{'institution': 'Icade University Of Comillas', 'start_date': 'January 1985', 'end_date': 'December 1986', 'degree': 'Graduated In Marketing And Commercial Management'}]","[{'institution': 'Altamira', 'start_date': 'February 2021', 'end_date': 'November 2023', 'role': 'Asset Manager', 'duration': '2 years, 9 months', 'duration_months': 33}, {'institution': 'Toyota Comluve Crdoba', 'start_date': 'March 1994', 'end_date': 'August 2007', 'role': 'Saleswoman', 'duration': '13 years, 5 months', 'duration_months': 161}]","['Entrepreneurship', 'Motorcycles', 'English']",Woman,No
152,152,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Athena Beauty', 'start_date': 'December 2019', 'end_date': 'January 2020', 'role': 'Parcel Delivery Driver', 'duration': '1 months', 'duration_months': 1}]","['Communications', 'Social Integration', 'Microsoft Word', 'Problem Solving', 'Informatics', 'Literacy', 'Machine Learning', 'Personnel Selection', 'Personal Profiles', 'Research', 'Gmail']",Man,No
159,159,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Athena Beauty', 'start_date': 'November 2020', 'end_date': 'February 2021', 'role': 'Advertising Delivery Man', 'duration': '3 months', 'duration_months': 3}]","['Communications', 'Social Integration', 'Informatics', 'Literacy', 'Research']",Woman,Yes
166,166,"[{'institution': 'Escuela Politcnica Superior De Lugo', 'start_date': 'January 1988', 'end_date': 'December 1993', 'degree': 'Agricultural Technical Engineer'}]","[{'institution': 'Garcibur', 'start_date': 'April 2007', 'end_date': 'Current', 'role': 'Vending Machine', 'duration': '17 years, 11 months', 'duration_months': 215}, {'institution': 'Marcos Footwear', 'start_date': 'December 1997', 'end_date': 'June 2000', 'role': 'Sales Assistant', 'duration': '2 years, 6 months', 'duration_months': 30}]","['Microsoft Word', 'English', 'Entrepreneurship', 'Mfg/Pro (Erp)', 'Business Administration', 'Management Systems', 'Customer Service', 'Management', 'Consulting', 'Enology', 'Agriculture', 'Sustainability', 'Microsoft Excel', 'Collections', 'Construction', 'Planning', 'Social Marketing', 'Viticulture', 'Business Economics']",Woman,No
169,169,"[{'institution': 'University Of The Basque Country', 'start_date': 'January 1996', 'end_date': 'December 1996', 'degree': 'Secondary Education Degree'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'Gss Security', 'start_date': 'August 2019', 'end_date': 'March 2020', 'role': 'Security Advisor', 'duration': '7 months', 'duration_months': 7}, {'institution': 'Jopa Restaurant', 'start_date': 'August 1984', 'end_date': 'March 1999', 'role': 'Waiter', 'duration': '14 years, 7 months', 'duration_months': 175}]","['Consulting', 'Customer Satisfaction', 'Communications', 'Demolition', 'Microsoft Word', 'Mortars', 'Problem Solving', 'Sales', 'Tiling', 'Customer Service', 'Management', 'Customer Support']",Woman,No
172,172,"[{'institution': 'Les Ribera De Los Molinos', 'start_date': 'January 2016', 'end_date': 'December 2020', 'degree': 'Degree In Aesthetics And Beauty'}]","[{'institution': 'Deportes Blanes Sl', 'start_date': 'April 2021', 'end_date': 'August 2021', 'role': 'Sales Assistant', 'duration': '4 months', 'duration_months': 4}]","['Sap Crm', 'English', 'Public Order', 'Storage Area Network (San)', 'Customer Service', 'Mobility', 'Consulting', 'Communications', 'Social Sciences', 'Cash Register', 'Spanish', 'Collections', 'Automation', 'Construction', 'Technical Support', 'Office Automation', 'Adaptability', 'Proactivity', 'Leadership']",Woman,No
177,177,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Luz Alexis Serrano', 'start_date': 'January 2020', 'end_date': 'December 2022', 'role': 'Cashier Administrator', 'duration': '2 years, 11 months', 'duration_months': 35}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Research']",Woman,Yes
178,178,"[{'institution': 'Complutense University Of Madrid', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Enterprise Rent A Car', 'start_date': 'November 2020', 'end_date': 'February 2021', 'role': 'Advertising Delivery Man', 'duration': '3 months', 'duration_months': 3}]","['Communications', 'Social Integration', 'Microsoft Word', 'Informatics', 'Literacy', 'Machine Learning', 'Personnel Selection', 'Personal Profiles', 'Research', 'Problem Solving']",Woman,No
184,184,"[{'institution': 'Coronel Rosales Agricultural School', 'start_date': 'January 1988', 'end_date': 'December 1993', 'degree': 'Agricultural Technical Engineer'}]","[{'institution': 'Securitas Direct', 'start_date': 'January 2022', 'end_date': 'December 2023', 'role': 'Commercial Advisor', 'duration': '1 year, 11 months', 'duration_months': 23}, {'institution': 'La Rosa Restaurant', 'start_date': 'April 2007', 'end_date': 'May 2021', 'role': 'Warehouse Waiter', 'duration': '14 years, 1 months', 'duration_months': 169}]","['Sap Crm', 'Teamwork', 'Microsoft Word', 'English', 'Biofuels', 'Entrepreneurship', 'Loans', 'Mfg/Pro (Erp)', 'Continuous Quality Improvement (Cqi)', 'Business Administration', 'Bioenergy', 'Storage Area Network (San)', 'Investments', 'International Trade', 'Management Systems', 'Customer Service', 'Management', 'Biomass', 'Consulting', 'Communication', 'Economy', 'Spanish', 'Collaboration', 'Enology', 'Hedging', 'Agriculture', 'Sustainability', 'Catalan', 'Sales', 'Microsoft Excel', 'Collections', 'Construction', 'Power Bi', 'Planning', 'Social Marketing', 'French', 'Refinancing', 'Microsoft Office', 'Auditing', 'First Aid', 'Closing (Sales)', 'Viticulture', 'Operations', 'Biodiesel', 'Economics', 'Business Economics']",Woman,No
195,195,"[{'institution': 'Ies Pea Del Aguila', 'start_date': 'September 2017', 'end_date': 'June 2021', 'degree': 'Eso Graduate'}]","[{'institution': 'Hawkers Sl', 'start_date': 'April 2021', 'end_date': 'August 2021', 'role': 'Sales Assistant', 'duration': '4 months', 'duration_months': 4}]","['Communications', 'Flexibility', 'Easy Learning', 'German', 'English', 'Pleasent Treatment', 'Spanish', 'Portuguese', 'Communnication', 'French', 'Telemarketing', 'Customer Support']",Woman,No
207,207,"[{'institution': 'Uned', 'start_date': 'January 2023', 'end_date': 'Ongoing', 'degree': 'Degree In Law'}]","[{'institution': 'Snoring', 'start_date': 'November 2022', 'end_date': 'December 2022', 'role': 'Waiter', 'duration': '1 months', 'duration_months': 1}]","['English', 'Entrepreneurship', 'Operating Systems', 'Literacy', 'Reconciliation', 'Web Design', 'Draft (Boiler)', 'Adobe Premiere Pro', 'Customer Service', 'Management', 'Adobe Indesign', 'Adobe Illustrator', 'Electricity', 'Spanish', 'Project Management', 'Collaboration', 'Java (Programming Language)', 'Digital Literacy', 'Research', 'Gmail', 'Outsourcing', 'Collections', 'Filing', 'Italian', 'Machine Learning', 'Maple (Software)', 'Customer Relationship Management', 'French', 'Adobe Photoshop', 'Adobe Creative Suite', 'Storage Management', 'Artificial Intelligence', 'Informatics', 'Integration', 'Operations']",Man,Yes
